,filing_org,filing_ein,tax_year,tot_expenses,filing_org_temp
200,CENTER FOR INDEPENDENT THOUGHT,520945376,2024-12-31,3490078,
201,CENTER FOR INDEPENDENT THOUGHT,520945376,2023-12-31,2468010,
202,CENTER FOR INDEPENDENT THOUGHT,520945376,2022-12-31,2136743,
203,CENTER FOR INDEPENDENT THOUGHT,520945376,2021-12-31,1798233,
204,CENTER FOR INDEPENDENT THOUGHT,520945376,2020-12-31,1122614,
205,CENTER FOR INDEPENDENT THOUGHT,520945376,2019-12-31,559993,
206,CENTER FOR INDEPENDENT THOUGHT,520945376,2018-12-31,446741,
207,CENTER FOR INDEPENDENT THOUGHT,520945376,2017-12-31,370819,
208,CENTER FOR INDEPENDENT THOUGHT,520945376,2016-12-31,447381,
209,CENTER FOR INDEPENDENT THOUGHT,520945376,2015-12-31,636670,
210,CENTER FOR INDEPENDENT THOUGHT,520945376,2014-12-31,470136,
211,CENTER FOR INDEPENDENT THOUGHT,520945376,2013-12-31,561910,
212,Center for Renewing America Inc,854307005,2022-12-31,2204419,
213,Center of the American Experiment,363611426,2024-12-31,4150088,
214,Center of the American Experiment,363611426,2023-12-31,4871382,
215,Center of the American Experiment,363611426,2022-12-31,5005753,
216,Center of the American Experiment,363611426,2021-12-31,4542236,
217,Center of the American Experiment,363611426,2020-12-31,4022063,
218,Center of the American Experiment,363611426,2019-12-31,3209358,
219,Center of the American Experiment,363611426,2018-12-31,3108123,
220,Central Fund of Israel,132992985,2024-01-31,96119535,
221,Central Fund of Israel,132992985,2023-01-31,73817799,
222,Central Fund of Israel,132992985,2022-01-31,55173972,
223,CENTRAL FUND OF ISRAEL,132992985,2021-01-31,44850305,
224,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2024-12-31,47882552,
225,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2023-12-31,48127461,
226,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2021-12-31,35854532,
227,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2020-12-31,33354113,
228,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2019-12-31,28519392,
229,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2018-12-31,26322132,
230,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2017-12-31,27991243,
231,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2016-12-31,30317764,
232,CHILDREN'S HOSPITAL OF WISCONSIN,391500075,2015-12-31,27506760,
233,CHILDREN'S HOSPITAL OF WISCONSIN FOUNDATION INC,391500075,2014-12-31,25531459,
234,CHILDREN'S HOSPITAL OF WISCONSIN FOUNDATION INC,391500075,2013-12-31,17809275,
235,CITIZEN JOURNALISM FOUNDATION,934447553,2024-12-31,1044009,
236,CITIZENS UNITED FOUNDATION,541626748,2021-12-31,6042003,
237,THE CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2024-06-30,10556856,THE CLAREMONT INSTITUTE FOR THE STUDY OF
238,THE CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2023-06-30,10243990,THE CLAREMONT INSTITUTE FOR THE STUDY OF
239,THE CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2021-06-30,8071035,THE CLAREMONT INSTITUTE FOR THE STUDY OF
240,CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2020-06-30,6149772,THE CLAREMONT INSTITUTE FOR THE STUDY OF
241,CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2019-06-30,5482292,THE CLAREMONT INSTITUTE FOR THE STUDY OF
242,CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2018-06-30,4558364,THE CLAREMONT INSTITUTE FOR THE STUDY OF
243,CLAREMONT INSTITUTE FOR THE STUDY,953443202,2017-06-30,5093063,THE CLAREMONT INSTITUTE FOR THE STUDY OF
244,CLAREMONT INSTITUTE FOR THE STUDY,953443202,2016-06-30,4972703,THE CLAREMONT INSTITUTE FOR THE STUDY OF
245,THE CLAREMONT INSTITUTE FOR THE STUDY OF,953443202,2014-06-30,4898449,THE CLAREMONT INSTITUTE FOR THE STUDY OF
246,COALITION FOR LIBERTY INC,882759129,2023-12-31,471614,
247,COMPETITIVE ENTERPRISE INSTITUTE,521351785,2024-09-30,8628363,
248,COMPETITIVE ENTERPRISE INSTITUTE,521351785,2023-09-30,8429275,
249,COMPETITIVE ENTERPRISE INSTITUTE,521351785,2021-09-30,6582265,
250,COMPETITIVE ENTERPRISE INSTITUTE,521351785,2019-09-30,6213282,
251,CONCORDIA UNIVERSITY WISCONSIN,396077337,2024-06-30,2293709,
252,CONCORDIA UNIVERSITY WISCONSIN,396077337,2023-06-30,2568444,
253,CONCORDIA UNIVERSITY WISCONSIN,396077337,2022-06-30,263556,
254,Conservative Partnership Institute,821470217,2024-12-31,32556834,
255,Conservative Partnership Institute,821470217,2023-12-31,21232349,
256,Conservative Partnership Institute,821470217,2022-12-31,23363874,
257,Conservative Partnership Institute,821470217,2021-12-31,17160422,
258,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2024-12-31,3288529,
259,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2020-12-31,2217455,
260,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2019-12-31,2287249,
261,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2018-12-31,1873023,
262,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2017-12-31,1383014,
263,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2016-12-31,1110850,
264,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2015-12-31,906294,
265,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,36009701,2014-12-31,904872,
266,Citizens Defending Freedom Foundation Inc,863949080,2024-12-31,5716705,
267,County Citizens Defending Freedom Foundation Inc,863949080,2022-12-31,1748562,
268,DAVID HOROWITZ FREEDOM CENTER(FKA CENTER,954194642,2014-12-31,7622148,
269,DO NO HARM,874701865,2024-12-31,8477058,
270,Emergent Order Foundation Inc,853369351,2023-12-31,4960433,
271,Ethics and Public Policy Center Inc,521162185,2015-06-30,4126261,Ethics and Public Policy Center Inc
272,Ethics and Public Policy Center Inc,521162185,2014-06-30,4378389,Ethics and Public Policy Center Inc
273,EVERGREEN FREEDOM FOUNDATION,943136961,2024-12-31,19312639,
274,EVERGREEN FREEDOM FOUNDATION,943136961,2021-12-31,8298893,
275,Foundation for Accountability Integrity & Research in Elections Fund,931870447,2024-06-30,2076697,
276,FAMILY REUNION,262584347,2024-12-31,684087,
277,FAMILY REUNION,262584347,2023-12-31,313101,
278,FAMILY REUNION,262584347,2022-12-31,781524,
279,FAMILY REUNION,262584347,2021-12-31,333328,
280,FAMILY REUNION,262584347,2020-12-31,271699,
281,FDRLST REAL JOURNALISM FUND,201500130,2025-06-30,93176,
282,FISCAL SPONSORSHIP ALLIES INC,850839183,2023-12-31,3867287,
283,FISCAL SPONSORSHIP ALLIES INC,850839183,2022-12-31,4870858,
284,FISCAL SPONSORSHIP ALLIES INC,850839183,2021-12-31,1416258,
285,FISCAL SPONSOR 4 GOOD INC,850839183,2020-12-31,295248,
286,FOLDS OF HONOR FOUNDATION,753240683,2024-12-31,62718422,
287,FOLDS OF HONOR FOUNDATION,753240683,2023-12-31,51688520,
288,FOLDS OF HONOR FOUNDATION,753240683,2022-12-31,46972258,
289,FOLDS OF HONOR FOUNDATION,753240683,2021-12-31,33969853,
290,FOLDS OF HONOR FOUNDATION,753240683,2020-12-31,28742605,
291,FOLDS OF HONOR FOUNDATION,753240683,2019-12-31,24549617,
292,FOLDS OF HONOR FOUNDATION,753240683,2018-12-31,23779564,
293,FOLDS OF HONOR FOUNDATION,753240683,2017-12-31,19624393,
294,FOLDS OF HONOR FOUNDATION,753240683,2016-12-31,13142917,
295,FOLDS OF HONOR FOUNDATION,753240683,2015-12-31,14604473,
296,FOLDS OF HONOR FOUNDATION,753240683,2013-12-31,10221639,
297,FOUNDATION FOR AMERICAN INNOVATION,472239840,2024-12-31,3719664,
298,LINCOLN NETWORK INC,472239840,2022-12-31,4347192,
299,LINCOLN NETWORK INC,472239840,2020-12-31,2645933,
300,Foundation For Excellence in Higher Education,461439784,2024-12-31,9825103,
301,FOUNDATION FOR EXCELLENCE IN HIGHER EDUCATION,461439784,2023-12-31,10284802,
302,The Foundation for Excellence in Higher,461439784,2022-12-31,8866364,
303,Foundation for Government,452637507,2017-12-31,5907581,
304,Foundation for Government,452637507,2016-12-31,4033458,
305,FOUNDATION FOR INDIVIDUAL RIGHTS AND,43467254,2025-06-30,29735575,
306,FOUNDATION FOR INDIVIDUAL RIGHTS AND,43467254,2024-06-30,27991138,
307,FOUNDATION FOR INDIVIDUAL RIGHTS AND,43467254,2023-06-30,34236134,
308,FOUNDATION FOR INDIVIDUAL RIGHTS AND,43467254,2022-06-30,22299708,
309,FRANCISCAN LIFE CENTER NETWORK INCORPORATED,223164899,2024-06-30,13107613,
310,FRANCISCAN LIFE CENTER NETWORK INCORPORATED,223164899,2023-06-30,11973510,
311,FRANCISCAN LIFE CENTER NETWORK INCORPORATED,223164899,2022-06-30,10812341,
312,FRANCISCAN LIFE CENTER NETWORK INCORPORATED,223164899,2021-06-30,9304486,
313,FREEDOMWORKS FOUNDATION INC,521526916,2022-12-31,8423843,
314,FREEDOMWORKS FOUNDATION INC,521526916,2021-12-31,8604982,
315,FreedomWorks Foundation Inc,521526916,2020-12-31,6805394,
316,FreedomWorks Foundation Inc,521526916,2015-12-31,4271696,
317,FRIENDS OF BAY BEACH INC,822570508,2024-12-31,1410201,
318,FRIENDS OF BAY BEACH INC,822570508,2023-12-31,324320,
319,FRIENDS OF BAY BEACH INC,822570508,2022-12-31,40497,
320,FRIENDS OF BAY BEACH INC,822570508,2020-12-31,15552,
321,FRIENDS OF BAY BEACH INC,822570508,2019-12-31,628346,
322,FRIENDS OF THE ASHBROOK CENTER,341581651,2022-12-31,20725,
323,FRIENDS OF UNITED HATZALAH INC,113533002,2024-12-31,41907446,
324,FRIENDS OF UNITED HATZALAH INC,113533002,2023-12-31,145827389,
325,FRIENDS OF UNITED HATZALAH INC,113533002,2022-12-31,36299092,
326,FRIENDS OF UNITED HATZALAHINC,113533002,2021-12-31,29826453,
327,FRIENDS OF UNITED HATZALAHINC,113533002,2017-12-31,21197988,
328,FRIENDS OF UNITED HATZALHINC,113533002,2016-12-31,17274776,
329,BATYA-FRIENDS OF UNITED HATZALHINC,113533002,2013-12-31,5818677,
330,Froedtert Hospital Foundation Inc,391431192,2024-06-30,2292062,
331,FROEDTERT HOSPITAL FOUNDATION INC,391431192,2023-06-30,1892373,
332,FROEDTERT HOSPITAL FOUNDATION INC,391431192,2022-06-30,2808512,
333,FROEDTERT HOSPITAL FOUNDATION INC,391431192,2021-06-30,1373140,
334,Froedtert Hospital Foundation Inc,391431192,2020-06-30,2571766,
335,Froedtert Hospital Foundation Inc,391431192,2019-06-30,2457488,
336,Froedtert Hospital Foundation Inc,391431192,2018-06-30,3043461,
337,Froedtert Hospital Foundation Inc,391431192,2017-06-30,3265681,
338,Froedtert Hospital Foundation Inc,391431192,2016-06-30,2347476,
339,Froedtert Hospital Foundation Inc,391431192,2015-06-30,2215828,
340,,391431192,2014-06-30,2505152,
341,FUSION GLOBAL INC,475619402,2016-12-31,457550,
342,GARY SINISE FOUNDATION,800587086,2024-03-31,75061687,
